Energy(GeV), flux(numubar/m^{2}/P.O.T/GeV), err
60.2,2.07e-09,1.21e-09
60.4,0,0
60.5,0,0
60.5,3.87e-10,3.9e-10
60.6,0,0
60.8,0,0
60.9,7.75e-10,7.83e-10
61,6.73e-10,6.78e-10
61,1.25e-09,8.95e-10
61.1,1.21e-09,8.65e-10
61.2,7e-10,7.05e-10
61.4,1.98e-09,1.15e-09
61.5,6.86e-10,6.91e-10
61.5,2.07e-09,1.2e-09
61.6,6.3e-10,6.34e-10
61.8,0,0
61.9,1.99e-09,1.16e-09
62,5.76e-10,5.81e-10
62,7.2e-10,6.01e-10
62.1,6.52e-10,6.57e-10
62.2,2.58e-09,1.54e-09
62.4,1.36e-09,9.72e-10
62.5,0,0
62.5,6.41e-10,6.45e-10
62.6,1.7e-10,1.71e-10
62.8,1.28e-09,9.15e-10
62.9,6.78e-10,6.83e-10
63,1.85e-09,1.08e-09
63,3.94e-10,3.97e-10
63.1,1.08e-09,6.37e-10
63.2,1.62e-09,9.44e-10
63.4,0,0
63.5,1.26e-09,8.98e-10
63.5,0,0
63.6,6.75e-10,6.8e-10
63.8,1.23e-09,8.74e-10
63.9,0,0
64,6.29e-10,6.34e-10
64,0,0
64.2,0,0
64.2,0,0
64.3,0,0
64.5,0,0
64.5,6.19e-10,6.23e-10
64.7,0,0
64.8,0,0
64.8,6.44e-10,6.49e-10
65,0,0
65,1.37e-09,8.06e-10
65.2,8.52e-10,6.08e-10
65.2,0,0
65.3,0,0
65.5,0,0
65.5,1.76e-09,1.03e-09
65.7,0,0
65.8,5.83e-10,5.87e-10
65.8,0,0
66,0,0
66,0,0
66.2,1.12e-09,8e-10
66.2,0,0
66.3,0,0
66.5,6.12e-10,6.17e-10
66.5,5.32e-10,5.36e-10
66.7,0,0
66.8,0,0
66.8,0,0
67,3.66e-10,3.69e-10
67,0,0
67.2,6.38e-10,6.43e-10
67.2,0,0
67.3,0,0
67.5,5.77e-10,5.81e-10
67.5,0,0
67.7,0,0
67.8,0,0
67.8,0,0
68,0,0
68,6.02e-10,6.07e-10
68.2,0,0
68.2,6.18e-10,6.22e-10
68.3,0,0
68.5,1.13e-09,8.07e-10
68.5,1.2e-09,8.57e-10
68.7,8.16e-10,6.03e-10
68.8,6.29e-10,6.33e-10
68.8,5.99e-10,6.03e-10
69,0,0
69,0,0
69.2,1.19e-09,8.48e-10
69.2,0,0
69.3,0,0
69.5,0,0
69.5,0,0
69.7,5.52e-10,5.56e-10
69.8,5.49e-10,5.53e-10
69.8,0,0
70,0,0
70,0,0
70.2,0,0
70.2,0,0
70.3,0,0
70.5,5.54e-10,5.59e-10
70.5,0,0
70.7,0,0
70.8,0,0
70.8,0,0
71,0,0
71,6.06e-10,6.11e-10
71.2,0,0
71.2,0,0
71.3,0,0
71.5,0,0
71.5,0,0
71.7,0,0
71.8,5.6e-10,5.64e-10
71.8,0,0
72,5.96e-10,6e-10
72,0,0
72.2,0,0
72.2,0,0
72.3,6.01e-10,6.06e-10
72.5,0,0
72.5,0,0
